age_months,recovery_2019,recovery_2021,recovery_2021_lower,recover_2021_upper
0,0.01010101,0.01933065,0.013042206,0.028590917
1,0.01010101,0.019681753,0.013252559,0.029139338
2,0.011494253,0.020039232,0.013466306,0.029698278
3,0.011494253,0.020403204,0.0136835,0.03026794
4,0.0125,0.020773787,0.013904196,0.030848529
5,0.0125,0.021151101,0.014128453,0.031440255
6,0.013513514,0.021535268,0.014356326,0.032043331
7,0.014705882,0.021926412,0.014587875,0.032657975
8,0.016129032,0.022324661,0.014823158,0.033284408
9,0.01754386,0.022730143,0.015062236,0.033922858
10,0.018867925,0.02314299,0.01530517,0.034573555
11,0.02,0.023563336,0.015552023,0.035236732
12,0.02173913,0.023991316,0.015802856,0.035912631
13,0.023255814,0.02442707,0.016057736,0.036601494
14,0.024390244,0.024870738,0.016316726,0.037303571
15,,0.025322465,0.016579893,0.038019115
16,,0.025782396,0.016847305,0.038748385
17,,0.026250681,0.01711903,0.039491643
18,,0.026727472,0.017395137,0.040249157
19,,0.027212922,0.017675698,0.041021203
20,,0.02770719,0.017960784,0.041808057
21,,0.028210435,0.018250468,0.042610004
22,,0.02872282,0.018544824,0.043427334
23,,0.029244512,0.018843927,0.044260342
24,0.035714286,0.04151576,0.024989291,0.061696714
60,0.045454545,0.05,0.034482759,0.068965517
