participant_months,contact_0,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_17,contact_18,contact_19,contact_20,contact_21,contact_22,contact_23,contact_24,contact_60
0,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.078967346,0.024532341
1,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.078967346,0.024532341
2,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.078967346,0.024532341
3,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.078967346,0.024532341
4,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.078967346,0.024532341
5,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.009244521,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.079626623,0.078967346,0.024532341
6,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.11986115,0.037236589
7,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.11986115,0.037236589
8,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.11986115,0.037236589
9,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.11986115,0.037236589
10,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
11,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
12,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
13,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
14,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
15,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
16,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
17,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
18,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
19,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
20,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
21,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
22,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
23,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.029294135
24,0.061863899,0.061863899,0.061863899,0.061863899,0.061863899,0.061863899,0.061863899,0.061863899,0.061863899,0.061863899,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.092307089,0.037520281
60,0.025607494,0.025607494,0.025607494,0.025607494,0.025607494,0.025607494,0.025607494,0.025607494,0.025607494,0.025607494,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.041172513,0.040016736,0.022463387
