participant_months,contact_0,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_8,contact_10,contact_12,contact_14,contact_16,contact_18,contact_20,contact_22,contact_24,contact_60
0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.7,0.7,0.7,0.7,0.7,0.7,2,10.9
1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.7,0.7,0.7,0.7,0.7,0.7,2,10.9
2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.7,0.7,0.7,0.7,0.7,0.7,2,10.9
3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.7,0.7,0.7,0.7,0.7,0.7,2,10.9
4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.7,0.7,0.7,0.7,0.7,0.7,2,10.9
5,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.7,0.7,0.7,0.7,0.7,0.7,2,10.9
6,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.95,0.95,0.95,0.95,0.95,0.95,3,12
8,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.95,0.95,0.95,0.95,0.95,0.95,3,12
10,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.95,0.95,0.95,0.95,0.95,0.95,3,12
12,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.1,1.1,1.1,1.1,1.1,1.1,3.3,12.7
14,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.1,1.1,1.1,1.1,1.1,1.1,3.3,12.7
16,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.1,1.1,1.1,1.1,1.1,1.1,3.3,12.7
18,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.1,1.1,1.1,1.1,1.1,1.1,3.3,12.7
20,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.1,1.1,1.1,1.1,1.1,1.1,3.3,12.7
22,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.1,1.1,1.1,1.1,1.1,1.1,3.3,12.7
24,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.1,1.1,1.1,1.1,1.1,1.1,3.3,12.7
60,0.275,0.275,0.275,0.275,0.275,0.275,0.55,0.55,0.55,0.61,0.61,0.61,0.61,0.61,0.61,1.84,15.1
