category,measure,num,percentage
total_pneumococcal_burden,incidence,623,1
total_pneumococcal_burden,severe_incidence,210,0.337078652
total_pneumococcal_burden,morality,47,0.075441413
pneumoccocal_pneumonia,incidence,578,0.92776886
pneumoccocal_pneumonia,severe_incidence,196,0.314606742
pneumoccocal_pneumonia,morality,40,0.064205457
pneumoccocal_meningitis,incidence,10,0.016051364
pneumoccocal_meningitis,severe_incidence,10,0.016051364
pneumoccocal_meningitis,morality,5,0.008025682
other_pneumoccocal,incidence,35,0.056179775
other_pneumoccocal,severe_incidence,4,0.006420546
other_pneumoccocal,morality,2,0.003210273
