participant_months,contact_0,contact_2,contact_4,contact_6,contact_8,contact_10,contact_12,contact_14,contact_16,contact_18,contact_20,contact_22,contact_24,contact_60
0,0.003487706,0.003487706,0.003487706,0.003487706,0.003487706,0.030040953,0.030040953,0.030040953,0.030040953,0.030040953,0.030040953,0.030040953,0.029792226,0.00567698
2,0.003487706,0.003487706,0.003487706,0.003487706,0.003487706,0.030040953,0.030040953,0.030040953,0.030040953,0.030040953,0.030040953,0.030040953,0.029792226,0.00567698
4,0.003487706,0.003487706,0.003487706,0.003487706,0.003487706,0.030040953,0.030040953,0.030040953,0.030040953,0.030040953,0.030040953,0.030040953,0.029792226,0.00567698
6,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.11986115,0.022839829
8,0.014031863,0.014031863,0.014031863,0.014031863,0.014031863,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.120861839,0.11986115,0.022839829
10,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.020590351
12,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.020590351
14,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.020590351
16,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.020590351
18,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.020590351
20,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.020590351
22,0.0482203,0.0482203,0.0482203,0.0482203,0.0482203,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.145003247,0.121063591,0.020590351
24,0.061863899,0.061863899,0.061863899,0.061863899,0.061863899,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.09716342,0.092307089,0.02299728
60,0.022008015,0.022008015,0.022008015,0.022008015,0.022008015,0.025796204,0.025796204,0.025796204,0.025796204,0.025796204,0.025796204,0.025796204,0.026166193,0.006594621
