participant_months,contact_0,contact_2,contact_4,contact_6,contact_8,contact_10,contact_12,contact_14,contact_16,contact_18,contact_20,contact_22,contact_24,contact_60
0,0.007,0.007,0.007,0.007,0.007,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01
2,0.007,0.007,0.007,0.007,0.007,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01
4,0.007,0.007,0.007,0.007,0.007,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01
6,0.055,0.055,0.055,0.055,0.055,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.04
8,0.055,0.055,0.055,0.055,0.055,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.04
10,0.048,0.048,0.048,0.048,0.048,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.121,0.03
12,0.048,0.048,0.048,0.048,0.048,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.121,0.03
14,0.048,0.048,0.048,0.048,0.048,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.121,0.03
16,0.048,0.048,0.048,0.048,0.048,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.121,0.03
18,0.048,0.048,0.048,0.048,0.048,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.121,0.03
20,0.048,0.048,0.048,0.048,0.048,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.121,0.03
22,0.048,0.048,0.048,0.048,0.048,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.121,0.03
24,0.062,0.062,0.062,0.062,0.062,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.092,0.039
60,0.026,0.026,0.026,0.026,0.026,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.041,0.028
